Descripción,2010,2011,2012,2013,2014,2015,2016,2017,2018
3. Carga," 21,917.00"," 24,174.00"," 24,752.00"," 25,311.00","25,679.00","27,149.00","28,857.00","29,428.00","30,007.00"
3.a Liviana," 12,220.00"," 11,729.00"," 11,787.00"," 11,764.00","11,952.00","12,637.00","13,290.00","13,574.00","13,914.00"
3.b Pesada," 9,697.00"," 12,445.00"," 12,965.00"," 13,547.00","13,727.00","14,513.00","15,567.00","15,854.00","16,093.00"
4. Equipo especial," 3,878.00"," 2,562.00"," 2,321.00"," 2,038.00","2,077.00","2,213.00","2,384.00","2,431.00","2,487.00"
5. Otros,  630.00 ,  200.00 ,  116.00 ,  25.00 ,27.00,31.00,36.00,37.00,38.00
6. Ferrocarril,  46.00 ,  51.00 ,  57.00 ,  67.00 ,64.00,64.00,64.00,62.00,56.00
Marítimo,  85.00 ,  84.00 ,  56.00 ,  90.00 ,78.00,91.00,58.00,65.00,51.00
Aéreo," 6,874.00"," 7,149.00"," 7,290.00"," 6,775.00","6,845.00","7,448.00","8,360.00","8,327.00","9,227.00"
Industria," 37,995.00"," 36,973.00"," 37,740.00"," 38,994.00","39,206.00","38,368.00","39,728.00","40,047.00","39,262.00"
1. Produc.de alimentos y tabaco (CIIU 31)," 22,612.00"," 17,734.00"," 18,489.00"," 19,839.00","19,986.00","19,956.00","20,435.00","20,367.00","20,442.00"
1.a Generación de vapor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
1.b Generación de calor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
1.c Iluminación,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
1.d Enfriamiento,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
1.e Generación de fuerza,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
1.f Otros,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2. Producción de textiles y cuero (CIIU 32),  918.00 ,  886.00 ,  882.00 ,  838.00 ,787.00,810.00,841.00,868.00,876.00
2.a Generación de vapor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.b Generación de calor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.c Iluminación,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.d Enfriamiento,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.e Generación de fuerza,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
2.f Otros,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
3. Producción de madera (CIIU 33)," 3,485.00"," 5,713.00"," 5,917.00"," 5,877.00","6,055.00","5,534.00","5,704.00","5,131.00","5,086.00"
3.a Generación de vapor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
3.b Generación de calor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
3.c Iluminación,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
3.d Enfriamiento,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
3.e Generación de fuerza,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
3.f Otros,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
4. Producción de papel (CIIU 34)," 1,070.00"," 1,061.00"," 1,126.00"," 1,223.00","1,220.00","1,257.00","1,311.00","1,359.00","1,366.00"
4.a Generación de vapor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
4.b Generación de calor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
4.c Iluminación,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
4.d Enfriamiento,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
4.e Generación de fuerza,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
4.f Otros,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
5. Producción de químicos (CIIU 35)," 2,076.00"," 2,048.00"," 2,069.00"," 2,000.00","1,948.00","1,870.00","1,899.00","2,084.00","1,974.00"
5.a Generación de vapor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
5.b Generación de calor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
5.c Iluminación,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
5.d Enfriamiento,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
5.e Generación de fuerza,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
5.f Otros,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
6. Otras industrias (CIIU 36-39)," 7,833.00"," 9,532.00"," 9,257.00"," 9,218.00","9,210.00","8,941.00","9,538.00","10,238.00","9,518.00"
6.a Generación de vapor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
6.b Generación de calor,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
6.c Iluminación,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
6.d Enfriamiento,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
6.e Generación de fuerza,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
6.f Otros,  -   ,  -   ,  -   ,  -   ,0.00,0.00,0.00,0.00,0.00
Agropecuario," 2,854.00"," 3,092.00"," 3,242.00"," 3,273.00","3,254.00","3,327.00","3,584.00","3,761.00","3,337.00"
Consumo no identificado (otros),  953.00 ," 1,106.00",  955.00 ," 1,008.00","1,281.00","1,346.00","1,364.00","1,493.00","1,430.00"
